BOROUGH,PRICE,NAME,SERVICE,NUM_RATING,RATING,LOCATION,ATTRACTION,ACCOUNT_NUM
Manhattan,466,The Kimberly Hotel,24-hour Front Desk;Multilingual Staff;Terrace;,2403,4.5,Manhattan,1.0 km from Rockfeller Center,0
Manhattan,473,Hotel Giraffe by Library Hotel Collection,Free Internet Services;Free WI-Fi;24-hour Front Desk;,4644,5,Manhattan,0.9 km from Empire State Building,0
Manhattan,485,Gramercy Park Hotel,Free WI-Fi;Multilingual Staff;Restaurant;,1607,4.5,Manhattan,1.5 km from Empire State Building,0
Manhattan,487,Manhattan Two Bedroom Apartment - Central Park,Free WI-Fi;Pets Allowed;Family Rooms;,null,null,Manhattan,0.9 km from Broadway Shopping District,0
Manhattan,497,JW Marriott Essex House Brooklyn,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,2158,4,Manhattan,null,0
Manhattan,500,1 Hotel Central Park,24-hour Front Desk;Multilingual Staff;Restaurant;,1839,4.5,Manhattan,1.2 km from Rockfeller Center,0
Manhattan,502,Andaz 5th Avenue - a concept by Hyatt,24-hour Front Desk;Restaurant;Pets Allowed;,2836,4.5,Manhattan,0.7 km from Fifth Avenue Shopping Street,0
Manhattan,510,The Brooklyn EDITION,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1411,4.5,Manhattan,1.0 km from Empire State Building,0
Manhattan,534,Madison Avenue Luxury Two Bedroom Apartments Next to Times Square,Free WI-Fi;Shops (On Site)Family Rooms;,null,null,Manhattan,null,0
Manhattan,567,AKA Times Square,Free WI-Fi;24-hour Front Desk;Concierge Service;,687,4.5,Manhattan,0.7 km from Times Square,0
Manhattan,569,The Langham Brooklyn Fifth Avenue,Free Internet Services;Free WI-Fi;24-hour Front Desk;,2653,4.5,Manhattan,0.4 km from Empire State Building,0
Brooklyn,570,Freehand Brooklyn,,null,null,Brooklyn,null,0
Manhattan,599,Residence Inn Brooklyn Manhattan/Central Park,Free WI-Fi;24-hour Front Desk;Multilingual Staff;,1575,4.5,Manhattan,0.7 km from Times Square,0
